CIK,CompanyName,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph
0000024090,"CITIZENS, INC.","December 31, 2020",1,0,0,0,0,1
0000024491,COOPER TIRE & RUBBER CO,"December 31, 2020",1,1,1,0,1,1
0000024545,Molson Coors Beverage Company,"December 31, 2020",0,1,1,0,1,1
0000024741,CORNING INC /NY,December 31,1,1,0,0,1,1
0000025232,COUSINS PROPERTIES INC,"December 31, 2020",1,0,0,0,0,1
0000025445,CRANE CO.,"December 31, 2020",1,1,0,0,1,1
0000025475,CRAWFORD & CO,"December 31, 2020",1,1,1,0,0,1
0000025895,NONE,NONE,1,1,1,0,0,1
0000026058,CTS CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000026172,CUMMINS INC.,12/31/2020,1,1,0,0,1,1
0000026324,CURTISS-WRIGHT CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000026780,Dana Inc.,"December 31, 2020",1,1,0,0,1,1
0000027419,TARGET CORP,"January 30, 2021",1,1,0,0,0,1
0000027904,"DELTA AIR LINES, INC.","December 31, 2020",1,0,1,0,0,1
0000027996,DELUXE CORPORATION,"December 31, 2020",1,1,1,0,1,1
0000028412,Comerica Incorporated,"December 31, 2020",1,1,0,0,1,1
0000028823,"Diebold Nixdorf, Incorporated","December 31, 2020",1,1,0,0,1,1
0000029002,DIODES INC /DEL/,"December 31, 2020",1,1,0,0,1,1
0000029332,DIXIE GROUP INC,12/26/2020,1,1,1,0,0,1
0000029534,DOLLAR GENERAL CORPORATION,"January 29, 2021",1,1,0,0,1,1
0000029644,"DONALDSON COMPANY, INC.","July 31, 2020",1,1,0,0,1,1
0000029669,RR Donnelley & Sons Co,"December 31, 2020",1,1,1,0,1,1
0000029905,Dover Corporation,"December 31, 2020",1,1,1,0,1,1
0000029989,OMNICOM GROUP INC.,"DECEMBER 31, 2020",1,0,1,0,0,1
0000030305,DUCOMMUN INCORPORATED,"December 31, 2020",1,1,0,0,1,1
0000030625,FLOWSERVE CORP,"DECEMBER 31, 2020",1,1,0,0,1,1
0000030697,THE WENDY’S COMPANY,"January 3, 2021",1,1,0,0,1,1
0000031107,THE EASTERN COMPANY,"January 2, 2021",1,1,0,0,1,1
0000031235,NONE,NONE,1,1,1,0,0,1
0000031462,ECOLAB INC.,"December 31, 2020",1,1,0,0,1,1
0000031667,NONE,NONE,1,0,0,0,0,1
0000031791,"PERKINELMER, INC.",1/3/2021,1,1,0,0,1,1
0000032604,EMERSON ELECTRIC CO.,"September 30, 2020",1,1,1,0,1,1
0000032621,NONE,NONE,1,1,0,0,1,1
0000033002,NONE,NONE,1,1,1,0,0,1
0000033185,EQUIFAX INC.,"December 31, 2020",1,0,1,0,0,1
0000033213,EQT CORPORATION,"DECEMBER 31, 2020",1,1,0,0,0,1
0000033488,ESCALADE INC,"December 26, 2020",1,1,1,0,1,1
0000033533,NONE,NONE,1,1,0,0,1,1
0000033992,"KINGSTONE COMPANIES, INC.","December 31, 2020",1,0,0,0,0,1
0000034067,DMC Global Inc.,"December 31, 2020",1,1,0,0,1,1
0000034088,Exxon Mobil Corporation,"December 31, 2020",1,0,0,0,0,1
0000034563,FARMER BROTHERS CO,"June 30, 2020",1,1,1,0,1,1
0000034782,1st Source Corporation,"December 31, 2020",1,1,1,0,0,1
0000034903,FEDERAL REALTY INVESTMENT TRUST,12/31/2020,1,1,1,0,0,1
0000034956,NONE,NONE,1,1,0,0,1,1
0000035214,FERRO CORPORATION,December 31,1,1,0,0,0,1
0000035527,FIFTH THIRD BANCORP,"December 31, 2020",1,1,0,0,1,1
0000036029,"First Financial Bankshares, Inc.","December 31, 2020",0,0,0,0,0,0
0000036104,US BANCORP \DE\,"December 31, 2020",0,0,0,0,0,0
0000036146,TRUSTMARK CORP,"December 31, 2020",1,1,0,0,0,1
0000036506,MACKINAC FINANCIAL CORP /MI/,"December 31, 2020",1,0,0,0,0,1
0000036966,FIRST HORIZON CORPORATION,"December 31, 2020",1,0,1,0,0,1
0000037472,"FLEXSTEEL INDUSTRIES, INC.",June 30,1,1,0,0,1,1
0000037785,FMC CORPORATION,"December 31, 2020",1,1,1,0,1,1
0000037808,FNB CORP/PA/,"December 31, 2020",1,1,1,0,1,1
0000037996,Ford Motor Co,"December 31, 2020",1,1,0,0,1,1
0000038264,NONE,NONE,1,1,0,0,0,1
0000038725,"FRANKLIN ELECTRIC CO., INC.","December 31, 2020",1,1,0,0,0,1
0000038777,"FRANKLIN RESOURCES, INC.","September 30, 2020",1,1,0,0,1,1
0000039020,NONE,NONE,1,1,0,0,0,1
0000039092,NONE,NONE,0,0,0,0,0,0
0000039263,"CULLEN/FROST BANKERS, INC.","December 31, 2020",1,1,1,0,0,1
0000039311,INDEPENDENT BANK CORPORATION,"December 31, 2020",1,0,0,0,0,0
0000039899,TEGNA INC.,"December 31, 2020",1,0,1,0,0,1
0000039911,"GAP, INC","January 30, 2021",1,1,1,0,1,1
0000040211,GATX Corporation,"December 31, 2020",1,1,0,0,1,1
0000040545,GENERAL ELECTRIC CO,"December 31, 2020",1,1,0,0,1,1
0000040570,NONE,NONE,1,0,1,0,0,1
0000040704,"GENERAL MILLS, INC.",5/31/2020,1,1,0,0,1,1
0000040729,ALLY FINANCIAL INC.,"December 31, 2020",1,1,0,0,1,1
0000040888,"Aerojet Rocketdyne Holdings, Inc.","December 31, 2020",1,1,0,0,0,1
0000040987,GENUINE PARTS CO,"December 31, 2020",1,1,1,0,1,1
0000041719,Glatfelter Corporation,"December 31, 2020",1,1,0,0,1,1
0000042582,THE GOODYEAR TIRE & RUBBER COMPANY,"December 31, 2020",1,1,1,0,1,1
0000042682,GORMAN RUPP CO,"December 31, 2020",1,1,0,0,0,1
0000042888,Graco Inc.,"December 25, 2020",1,1,0,0,1,1
0000043196,GRAY TELEVISION INC,"December 31, 2020",1,0,0,0,0,1
0000043920,"GREIF, INC","October 31, 2020",1,1,0,0,1,1
0000045012,HALLIBURTON COMPANY,"December 31, 2020",1,1,0,0,0,1
0000045876,HARSCO CORP,12/31/2020,1,1,0,0,1,1
0000045919,NONE,NONE,1,0,0,0,0,1
0000046080,"Hasbro, Inc.","December 27, 2020",1,1,1,0,1,1
0000046129,ALLIED MOTION TECHNOLOGIES INC,"December 31, 2020",1,1,0,0,1,1
0000046195,BANK OF HAWAII CORP,"December 31, 2020",1,0,0,0,0,1
0000046250,"HAWKINS, INC.","March 29, 2020",1,0,0,0,0,1
0000046619,HEICO CORPORATION,"October 31, 2020",1,1,0,0,1,1
0000046765,"HELMERICH & PAYNE, INC.","September 30, 2020",1,1,0,0,0,1
0000047111,HERSHEY CO,"December 31, 2020",1,1,0,0,1,1
0000047217,HP INC.,"October 31, 2020",1,1,0,0,1,1
0000047518,"HILL-ROM HOLDINGS, INC.","September 30, 2020",1,1,0,0,1,1
0000048287,HNI Corporation,"January 2, 2021",1,1,0,0,1,1
0000048465,HORMEL FOODS CORPORATION,"October 25, 2020",1,1,1,0,0,1
0000048898,HUBBELL INC,"DECEMBER 31, 2020",1,1,1,0,1,1
0000049071,HUMANA INC.,"December 31, 2020",1,1,0,0,1,1
0000049196,HUNTINGTON BANCSHARES INC/MD,"December 31, 2020",1,1,0,0,1,1
0000049600,"EASTGROUP PROPERTIES, INC","December 31, 2020",1,1,0,0,0,1
0000049728,IEC ELECTRONICS CORP,"September 30, 2020",1,1,0,0,1,1
0000049754,"Dine Brands Global, Inc.","December 31, 2020",1,1,1,0,0,1
0000049826,ILLINOIS TOOL WORKS INC,"December 31, 2020",1,1,0,0,1,1
0000049938,IMPERIAL OIL LIMITED,"December 31, 2020",0,0,0,0,0,0
0000050471,NONE,NONE,1,1,0,0,0,1
0000050493,"INGLES MARKETS, INCORPORATED",September 26,1,1,0,0,0,1
0000050725,GRIFFON CORP,"September 30, 2020",1,1,0,0,1,1
0000050863,INTEL CORPORATION,"December 26, 2020",1,1,0,0,1,1
0000051143,INTERNATIONAL BUSINESS MACHINES CORPORATION,"DECEMBER 31, 2020",1,1,0,0,1,1
0000051253,INTERNATIONAL FLAVORS & FRAGRANCES INC,"December 31, 2020",1,1,1,0,1,1
0000051434,INTERNATIONAL PAPER COMPANY,12/31/2020,1,1,0,0,1,1
0000052827,RAYONIER INC.,"December 31, 2020",1,1,0,0,1,1
0000052988,Jacobs Engineering Group Inc.,"October 2, 2020",1,1,1,0,1,1
0000054187,NONE,NONE,1,0,0,0,0,1
0000054381,KAMAN CORPORATION,"December 31, 2020",1,1,1,0,1,1
0000054480,KANSAS CITY SOUTHERN,"December 31, 2020",1,1,0,0,1,1
0000055067,Kellogg Company,"January 2, 2021",1,1,0,0,1,1
0000055135,"KELLY SERVICES, INC.","January 3, 2021",1,1,1,0,0,1
0000055242,KENNAMETAL INC.,"June 30, 2020",1,1,1,0,1,1
0000055529,NONE,NONE,1,1,0,0,1,1
0000055772,"KIMBALL INTERNATIONAL, INC.",6/30/2020,1,1,0,0,1,1
0000055785,KIMBERLY-CLARK CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000056047,KIRBY CORP,"December 31, 2020",1,0,0,0,0,1
0000056679,KORN FERRY,"April 30, 2020",1,1,1,0,1,1
0000056701,NONE,NONE,1,1,0,0,0,1
0000056868,NONE,NONE,1,0,0,0,0,1
0000056873,THE KROGER CO.,"January 30, 2021",1,1,0,0,1,1
0000056978,KULICKE & SOFFA INDUSTRIES INC,"October 3, 2020",1,1,0,0,1,1
0000057131,LA-Z-BOY INCORPORATED,"April 25, 2020",1,1,1,0,1,1
0000057515,Lancaster Colony Corporation,"June 30, 2020",1,1,0,0,0,1
0000057725,NONE,NONE,1,1,0,0,0,1
0000058361,"LEE ENTERPRISES, INC","September 27, 2020",1,0,1,0,0,1
0000059255,"VALHI, INC.","December 31, 2020",1,1,0,0,1,1
0000059440,VECTOR GROUP LTD,"December 31, 2020",1,0,0,0,0,1
0000059527,LINCOLN ELECTRIC HOLDINGS INC,"December 31, 2020",1,1,0,0,0,1
0000059558,LINCOLN NATIONAL CORPORATION,December 31,1,0,0,0,0,1
0000060086,LOEWS CORP,"December 31, 2020",1,0,0,0,0,0
0000060519,LOUISIANA-PACIFIC CORPORATION,"December 31, 2020",1,1,0,0,0,1
0000060667,LOWES COMPANIES INC,"January 29, 2021",1,1,0,0,1,1
0000060714,"LSB INDUSTRIES, INC.","December 31, 2020",1,1,1,0,0,1
0000060977,LYDALL INC /DE/,"December 31, 2020",1,1,1,0,1,1
0000061004,NONE,NONE,1,1,0,0,1,1
0000061398,Tellurian Inc.,"December 31, 2020",1,0,0,0,0,1
0000061986,"The Manitowoc Company, Inc.","December 31, 2020",1,1,0,0,0,1
0000062234,MARCUS CORP,"December 31, 2020",1,0,0,0,0,1
0000062362,NONE,NONE,1,0,0,0,0,1
0000062709,"Marsh & McLennan Companies, Inc.","December 31, 2020",1,1,0,0,1,1
0000062996,MASCO CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000063276,MATTEL INC /DE/,"December 31, 2020",1,1,0,0,1,1
0000063296,MATTHEWS INTERNATIONAL CORP,"September 30, 2020",1,1,0,0,1,1
0000063330,NONE,NONE,1,0,0,0,0,1
0000063754,MCCORMICK & CO INC,"November 30, 2020",1,1,0,0,1,1
0000063908,McDONALD’S CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000064040,S&P Global Inc.,"December 31, 2020",1,1,1,0,1,1
0000064472,GENCOR INDUSTRIES INC,"September 30, 2020",0,0,0,0,0,0
0000064996,MERCURY GENERAL CORPORATION,"December 31, 2020",1,1,0,0,0,1
0000065011,MEREDITH CORPORATION,"June 30, 2020",1,1,0,0,1,1
0000065172,NONE,NONE,0,0,0,0,0,1
0000065270,"METHODE ELECTRONICS, INC.","May 2, 2020",1,1,1,0,1,1
0000065312,"EVI Industries, Inc.","June 30, 2020",1,1,0,0,0,1
0000065596,NONE,NONE,0,0,0,0,0,0
0000065770,NONE,NONE,1,1,0,0,1,1
0000066004,MIDDLESEX WATER COMPANY,"December 31, 2020",1,0,0,0,0,0
0000066382,"HERMAN MILLER, INC.","May 30, 2020",1,1,0,0,0,1
0000066418,NONE,NONE,1,1,0,0,1,1
0000066570,MSA SAFETY INC,"December 31, 2020",1,1,0,0,1,1
0000066740,3M COMPANY,"December 31, 2020",1,1,0,0,1,1
0000066756,"ALLETE, Inc.","December 31, 2020",1,1,0,0,0,1
0000067215,"DYCOM INDUSTRIES, INC.","January 30, 2021",1,1,0,0,0,1
0000067347,MODINE MANUFACTURING CO,"March 31, 2020",1,1,1,0,1,1
0000067625,"MONMOUTH
REAL ESTATE INVESTMENT CORPORATION","September 30, 2020",1,1,0,0,1,1
0000067716,MDU RESOURCES GROUP INC,"December 31, 2020",1,1,0,0,0,1
0000068505,"MOTOROLA SOLUTIONS, INC.","December 31, 2020",1,1,0,0,1,1
0000068709,MTS SYSTEMS CORPORATION,"October 3, 2020",1,1,1,0,1,1
0000069422,NONE,NONE,1,0,1,0,0,1
0000069633,NONE,NONE,1,1,0,0,1,1
0000069733,NONE,NONE,1,1,0,0,0,1
0000069891,National Beverage Corp. ,"May 2, 2020",1,0,0,0,0,1
0000070145,National Fuel Gas Company,"September 30, 2020",1,1,1,0,1,1
0000070318,TENET HEALTHCARE CORP,"December 31, 2020",1,1,1,0,0,1
0000070415,GP STRATEGIES CORPORATION,"December 31, 2020",1,1,1,0,0,1
0000070487,National Research Corporation,"December 31, 2020",1,0,0,0,0,1
0000070858,Bank of America Corporation,"December 31, 2020",1,1,0,0,0,1
0000070866,NCR CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000071691,NEW YORK TIMES CO,"December 27, 2020",0,1,0,0,0,1
0000071829,"Newpark Resources, Inc.","December 31, 2020",1,0,1,0,0,1
0000072162,"NL INDUSTRIES, INC.","December 31, 2020",1,1,0,0,1,1
0000072333,"NORDSTROM, INC.","January 30, 2021",1,1,0,0,1,1
0000072444,NONE,NONE,1,1,1,0,1,1
0000072573,"MOVADO GROUP, INC.","January 31, 2021",1,1,1,0,1,1
0000072633,NONE,NONE,1,0,0,0,0,1
0000072741,EVERSOURCE ENERGY,"December 31, 2020",1,1,0,0,1,1
0000072903,XCEL ENERGY INC,"December 31, 2020",1,1,0,0,1,1
0000073088,NORTHWESTERN CORP,"December 31, 2020",1,1,1,0,0,1
0000073124,NORTHERN TRUST CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000073290,NONE,NONE,1,1,0,0,1,1
0000073756,OCEANEERING INTERNATIONAL INC,12/31/2020,1,1,0,0,0,1
0000074046,OIL-DRI CORPORATION OF AMERICA,"July 31, 2020",1,1,0,0,0,1
0000074260,OLD REPUBLIC INTERNATIONAL CORPORATION,"December 31, 2020",1,0,0,0,0,0
0000074303,OLIN CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000075252,"OWENS & MINOR, INC","December 31, 2020",1,1,0,0,1,1
0000075288,"OXFORD INDUSTRIES, INC.","January 30, 2021",1,1,0,0,1,1
0000075340,NONE,NONE,1,0,0,0,0,1
0000075362,PACCAR Inc,"December 31, 2020",1,1,0,0,0,1
0000075677,PACKAGING CORP OF AMERICA,"December 31, 2020",1,0,1,0,0,1
0000076267,NONE,NONE,1,1,0,0,0,1
0000076282,PARK-OHIO HOLDINGS CORP.,"December 31, 2020",1,1,0,0,1,1
0000076334,PARKER-HANNIFIN CORPORATION,"June 30, 2020",1,1,0,0,0,1
0000076605,"PATRICK INDUSTRIES, INC.","December 31, 2020",1,1,0,0,1,1
0000077159,PENN VIRGINIA CORP,"December 31, 2020",1,1,0,0,1,1
0000077281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,"December 31, 2020",1,1,1,0,0,1
0000077476,"PepsiCo, Inc.","December 26, 2020",1,1,0,0,1,1
0000077543,Tutor Perini Corporation,"December 31, 2020",1,0,0,0,0,1
0000077877,"PDC ENERGY, INC.","December 31, 2020",1,0,0,0,0,1
0000078003,PFIZER INC,"December 31, 2020",1,1,0,0,1,1
0000078239,PVH CORP.,"January 31, 2021",1,1,1,0,1,1
0000078749,NONE,NONE,1,0,1,0,0,1
0000078814,PITNEY BOWES INC.,"December 31, 2020",1,1,0,0,1,1
0000078890,BRINK’S CO,"December 31, 2020",1,1,0,0,0,1
0000079282,"BROWN & BROWN, INC.","December 31, 2020",1,0,0,0,0,1
0000079879,"PPG INDUSTRIES, INC.","December 31, 2020",1,1,0,0,1,1
0000080035,Preformed Line Products Company,"December 31, 2020",1,1,0,0,1,1
0000080172,NATIONAL PRESTO INDUSTRIES INC,"December 31, 2020",1,1,0,0,0,1
0000080424,PROCTER & GAMBLE CO,"June 30, 2020",1,1,0,0,1,1
0000080661,PROGRESSIVE CORP/OH/,"December 31, 2020",1,0,0,0,0,1
0000081955,NONE,NONE,1,0,0,0,0,1
0000082020,UNITED STATES LIME & MINERALS INC,"December 31, 2020",1,1,0,0,0,0
0000082166,"RAVEN INDUSTRIES, INC.","January 31, 2021",1,1,0,0,0,1
0000082473,NONE,NONE,1,0,0,0,0,1
0000082811,Regal Beloit Corp,"January 2, 2021",1,1,0,0,1,1
0000084129,RITE AID CORP,"February 29, 2020",1,1,0,0,1,1
0000084246,RLI CORP,"December 31, 2020",1,0,0,0,0,1
0000084748,ROGERS CORP,"December 31, 2020",1,1,0,0,0,1
0000084839,"ROLLINS, INC.","DECEMBER 31, 2020",1,0,1,0,0,1
0000085535,"Royal Gold, Inc","June 30, 2020",1,1,0,0,0,1
0000085961,"RYDER SYSTEM, INC.","December 31, 2020",1,1,1,0,1,1
0000086115,SAFEGUARD SCIENTIFICS INC,"December 31, 2020",1,1,0,0,0,1
0000086312,"Travelers Companies, Inc.","December 31, 2020",1,1,1,0,1,1
0000087050,NONE,NONE,1,0,0,0,0,0
0000087347,SCHLUMBERGER LIMITED/NV,"December 31, 2020",1,1,0,0,1,1
0000088121,SEABOARD CORPORATION,"December 31, 2020",1,0,0,0,0,1
0000088205,SPX Corp,"December 31, 2020",1,1,0,0,0,1
0000088790,INTRICON CORPORATION,December 31,1,1,0,0,0,1
0000088941,SEMTECH CORP,"January 31, 2021",1,1,0,0,1,1
0000089089,SERVICE CORPORATION INTERNATIONAL,"December 31, 2020",1,1,1,0,0,1
0000089439,"MUELLER INDUSTRIES, INC.","December 26, 2020",1,1,0,0,0,1
0000089800,THE SHERWIN-WILLIAMS COMPANY,"December 31, 2020",1,1,0,0,1,1
0000090168,"SIFCO Industries, Inc.","September 30, 2020",1,0,1,0,0,1
0000090498,SIMMONS FIRST NATIONAL CORP,"December 31, 2020",1,0,0,0,0,1
0000090896,Skyline Champion Corporation,"March 28, 2020",1,1,1,0,0,1
0000091142,A. O. Smith Corporation,"December 31, 2020",1,1,1,0,1,1
0000091419,THE J. M. SMUCKER COMPANY,"April 30, 2020",1,1,0,0,1,1
0000091440,Snap-on Inc,"January 2, 2021",1,1,0,0,1,1
0000091576,KeyCorp,"December 31, 2020",1,1,0,0,0,1
0000091767,SONOCO PRODUCTS COMPANY,"December 31, 2020",1,1,0,0,1,1
0000091928,"South Jersey Industries, Inc.","December 31, 2020",1,1,0,0,0,1
0000092122,The Southern Company,"December 31, 2020",1,1,0,0,1,1
0000092230,TRUIST FINANCIAL CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000092380,SOUTHWEST AIRLINES CO.,"December 31, 2020",1,1,1,0,0,1
0000093389,"Standard Motor Products, Inc.","December 31, 2020",0,1,0,0,0,0
0000093410,Chevron Corp,"December 31, 2020",1,1,0,0,1,1
0000093556,"STANLEY BLACK & DECKER, INC.","January 2, 2021",1,1,1,0,1,1
0000093676,NONE,NONE,1,1,1,0,1,1
0000093751,STATE STREET CORPORATION,"December 31, 2020",1,1,0,0,1,1
0000094049,STEPAN COMPANY,"DECEMBER 31, 2020",1,1,0,0,0,1
0000094344,STEWART INFORMATION SERVICES CORP,"December 31, 2020",1,0,0,0,0,1
0000094845,LEVI STRAUSS & CO.,11/29/2020,1,1,0,0,1,1
